"OBJECTID_1","OBJECTID","SchoolID","County","SchoolName","Address","City","State","Zipcode","Website","SchoolType","coords.x1","coords.x2"
412,412,59480,"Hertford","Ridgecroft School","P.O. Box 1008","Ahoskie","NC",27910,"www.ridgecroft.org","Independent",790344.989314106,283435.637791781
413,413,115763,"Hoke","Academy of Excellence","2240 S. Duffie Rd.","Red Springs","NC",28377,NA,"Independent",589169.490474775,122075.821146198
414,414,59637,"Guilford","Oak Ridge Military Academy","P.O. Box 498","Oak Ridge","NC",27310,"www.oakridgemilitary.com","Independent",520320.763525897,268874.516782228
415,415,138427,"Hoke","Canyon Hills Treatment Facility Academy","769 Aberdeen Road","Raeford","NC",28376,NA,"Independent",586251.979929009,137511.278427988
416,416,59647,"Mecklenburg","Charlotte Christian School","7301 Sardis Road","Charlotte","NC",28270,"www.charlottechristian.com","Religious",448295.486163549,155652.032323662
417,417,148624,"Hoke","Cape Fear Christian High School","7623 Rockfish Road","Raeford","NC",28376,NA,"Religious",603682.819456304,137762.010217924
418,418,79117,"Guilford","Our Children's Community School","2204 Joan Avenue","Greensboro","NC",27455,"www.occsgreensboro.org","Independent",534813.149852484,263171.205180658
419,419,94481,"Mecklenburg","Charlotte Community School for Girls","1440 S. Tryon, Ste. 109","Charlotte","NC",28203,"www.charlottecommunityschool.org","Independent",440670.805995779,164261.741965046
420,420,59461,"Guilford","Our Lady of Grace Catholic Sch","201 South Chapman Street","Greensboro","NC",27403,"www.olgsch.org","Religious",535536.648318589,257976.053081973
421,421,103710,"Hoke","Grace House Treatment Center","1892 Turnpike Road","Raeford","NC",28376,"www.ncprtf.com","Independent",586706.477130241,137486.515826793
422,422,59499,"Mecklenburg","Charlotte Country Day School","1440 Carmel Road","Charlotte","NC",28226,"www.charlottecountryday.org","Independent",445438.234285392,156546.102465427
423,423,59462,"Guilford","Piedmont School","815 Old Mill Road","High Point","NC",27265,"www.thepiedmontschool.com","Independent",518583.818255741,252893.969626112
424,424,103709,"Hoke","Hope Gardens Treatment Center","1958 Turnpike Road","Raeford","NC",28376,"www.ncprtf.com","Independent",586576.896957975,137464.24903352
425,425,115770,"Guilford","Primrose School of New Irving Park","4 North Pointe Court","Greensboro","NC",27408,NA,"Independent",537718.43144063,263652.767332779
426,426,59346,"Mecklenburg","Charlotte Jewish Day School","P.O. Box 79180","Charlotte","NC",0,"www.cjdschool.org","Religious",442304.910454564,164931.501101859
427,427,117554,"Guilford","Prince of Peace Christian Academy","PO Box 16523","Greensboro","NC",27416,NA,"Independent",537796.262183857,254527.098486276
428,428,59500,"Mecklenburg","Charlotte Latin School","9502 Providence Road","Charlotte","NC",28277,"www.charlottelatin.org","Independent",447997.451049194,149026.979551597
