"SchoolName","Address","City","Zipcode","County","geometry"
"Manteo Elementary","701 N Hwy 64/264","Manteo",27954,"Dare",c(909520.749799997, 244886.8125)
"Dare County Alternative","205 N Highway 64/264","Manteo",27954,"Dare",c(909580.312399998, 244654.265700001)
"Manteo High","829 Wingina Avenue","Manteo",27954,"Dare",c(909743.062399998, 245280.9219)
"First Flight Elementary","107 Veterans Drive","Kill Devil Hills",27948,"Dare",c(910186.9375, 255371.734200001)
"Cape Hatteras Secondary","48576  Highway 12","Buxton",27920,"Dare",c(923335.8125, 173603.968600001)
"Sherwood Githens Middle","4800 Chapel Hill Road","Durham",27707,"Durham",c(611311.499899998, 243502.437600002)
"DPS Hospital School","DUMC Room 3605","Durham",27710,"Durham",c(615322.312399998, 250545.375)
"Bunn Elementary","686 Bunn Elem School Road","Bunn",27508,"Franklin",c(676006.437399998, 243343.921700001)
"Bunn High","29 Bunn Elem School Road","Bunn",27508,"Franklin",c(677326.499899998, 244899.171799999)
"Terrell Lane Middle","101 Terrell Lane","Louisburg",27549,"Franklin",c(674795.437700003, 261389.812399998)
"Youngsville Elementary","125 US IA","Youngsville",27596,"Franklin",c(656422.625100002, 252267.671999998)
"Central Middle","362 US Hwy 158","Gatesville",27938,"Gates",c(813351.6875, 300233.750100002)
"Gates County Senior High","088 Hwy 158 West","Gatesville",27938,"Gates",c(815293.0625, 301441.781399999)
"Gatesville Elementary","709 Main Street","Gatesville",27938,"Gates",c(810964.749799997, 297524.218899999)
"Buckland Elementary","448 NC 37 North","Gates",27937,"Gates",c(810352.999799997, 303792.9375)
"T S Cooper Elementary","237 NC 32 South","Sunbury",27979,"Gates",c(824095.937700003, 299265.375)
"J R Ingram Jr Elementary","3309 Wicker St","Sanford",27330,"Lee",c(590031.937399998, 190297.3596)
"West Lee Middle","3301 Wicker St","Sanford",27330,"Lee",c(590042.1875, 190621.531100001)
"Greenwood Elementary","1127 Greenwood Rd","Sanford",27330,"Lee",c(592013.624799997, 181749.953299999)
"Oakwood Elementary","274 Oakwood Drive","Yanceyville",27379,"Caswell",c(579846.624799997, 295853.124899998)
"N L Dillard Middle","255 Hatchett Road","Yanceyville",27379,"Caswell",c(579691.9375, 293983.531100001)
"Bartlett Yancey High","466 Main Street E","Yanceyville",27379,"Caswell",c(580226.750100002, 294440.562399998)
