"SchoolName","Address","City","Zipcode","County","geometry"
"Richlands Primary","7444 Richlands Highway","Richlands",28574,"Onslow",c(742349.562700003, 127563.5154)
"Otis L Hairston Sr Middle","3911 Naco Road","Greensboro",27401,"Guilford",c(540689.375100002, 256805.453299999)
"Northwest Elementary","1471 Holland Road","Greenville",27834,"Pitt",c(747391.750100002, 221540.0627)
"Northside High","365 Commons Drive South","Jacksonville",28546,"Onslow",c(756607.687600002, 116575.531100001)
"Horizons Elementary","143 Cedar Valley Road","Hudson",28638,"Caldwell",c(385248.755900003, 235960.1327)
"Hopewell Elementary","6294 Welborn Road","Trinity",27370,"Randolph",c(518699.874899998, 234649.296999998)
"Hope Elementary","1116 N Blount Street","Raleigh",27604,"Wake",c(642597.864699997, 226953.270799998)
"Guilford Preparatory Academy","2210 East Cone Blvd","Greensboro",27405,"Guilford",c(542336.857600003, 262305.795499999)
"Middle College at GTCC  Jamestown","601 High Point Road","Jamestown",27282,"Guilford",c(525267.312399998, 249588.593600001)
"Gibson Elementary","2020 Walker Road","Winston-Salem",27106,"Forsyth",c(491761.718900003, 271362.125)
"Greensboro College Middle College","815 W Market St","Greensboro",27401,"Guilford",c(537501.062399998, 257985.499899998)
"Friedberg Elementary","1131 Friedberg Church Road","Winston-Salem",27127,"Davidson",c(494497.562600002, 249663.218899999)
"Crossroads Charter High","5500 N Tryon Steet","Charlotte",28213,"Mecklenburg",c(448280.625200003, 169184.015700001)
"Roberson Cntr for Ed Achieveme","1731 Roberson School Road","Tarboro",27886,"Edgecombe",c(741625.5625, 240342.093600001)
"Crosscreek Charter School","306 Sandalwood Drive","Louisburg",27549,"Franklin",c(673111.937600002, 262684.9998)
"Middle Creek Elementary","110 Middle Creek Park Avenue","Apex",27539,"Wake",c(631387.572899997, 213025.6512)
"Southmont Elementary","2497 Southmont Drive","Asheboro",27205,"Randolph",c(532768.625100002, 210968.984299999)
"Brevard Academy","299 Andante Lane","Brevard",28712,"Transylvania",c(268255.105599999, 171982.675900001)
"Clover Garden","2454 Altamhaw Union Ridge R","Burlington",27217,"Alamance",c(567211.250100002, 270534.874899998)
"RD & Euzelle Smith Middle","9201 Seawell School Rd","Chapel Hill",27516,"Orange",c(602805.437399998, 244274.343800001)
"Hopewell High","11530 Beatties Ford Rd","Huntersville",28078,"Mecklenburg",c(440726.718500003, 168463.0627)
"Jay M Robinson High","300 Pitts School Road SW","Concord",28027,"Cabarrus",c(458656.498300001, 180114.425500002)
"Mount Energy Elementary","2652 Hwy 56","Creedmoor",27522,"Granville",c(641661.875, 263424.343699999)
"Crossnore Academy","129 Allen Circle","Crossnore",28616,"Avery",c(345740.687600002, 256248.5156)
"Jack Britt High","7403 Rockfish Road","Fayetteville",28306,"Cumberland",c(608561.278300002, 136186.755100001)
"Stoney Point Elementary","7411 Rockfish Road","Fayetteville",28306,"Cumberland",c(608256.173699997, 136404.193100002)
"Waldo C Falkener Sr Elementary","3931 Naco Road","Greensboro",27401,"Guilford",c(543323.500100002, 258948.187600002)
"Phoenix Academy Inc","4020 Meeting Way","High Point",27265,"Guilford",c(523110.875100002, 255425.9844)
"Gray's Creek Middle","5151 Celebration Drive","Hope Mills",28348,"Cumberland",c(618649.119999997, 129846.763799999)
"Alderman Road Elementary","2860 Alderman Road","Fayetteville",28306,"Cumberland",c(622391.5678, 127082.9725)
"Lake Norman Charter","12435 Old Statesville Road","Huntersville",28078,"Mecklenburg",c(442836.3125, 183989.171799999)
"Laurel Hill Elementary","11340 Old Wire Road","Laurel Hill",28351,"Scotland",c(561989.681599997, 119168.384100001)
"Carver Middle","18601 Fieldcrest Road","Laurel Hill",28351,"Scotland",c(562052.324100003, 118872.237799998)
"Sandy Grove Elementary","8452 North Old Wire Road","Lumber Bridge",28357,"Hoke",c(601258.749799997, 132739.6094)
"Brush Creek Elementary","265 Upper Brush Creek Road","Marshall",28753,"Madison",c(274093.531300001, 238105.937600002)
"Hawfields Middle","1951 S NC 119","Mebane",27302,"Alamance",c(582186.562700003, 256276.1875)
"Green Hope Elementary","2700 Louis Stephens Drive","Cary",27519,"Wake",c(622239.124799997, 227727.206599999)
"The Learning Center","945 Conaheeta Street","Murphy",28906,"Cherokee",c(150757.278800003, 160744.682300001)
"Newport Middle","500 E Chatham Street","Newport",28570,"Carteret",c(805309.262000002, 115657.112199999)
"Northeast Elementary","21000 US Hwy 264 East","Pinetown",27865,"Beaufort",c(817243.8072, 200809.543400001)
"Winstead Avenue Elementary","991 South Winstead Avenue","Rocky Mount",27804,"Nash",c(714129.062399998, 248176.078000002)
"Cape Fear Elementary","1882 NC Hwy 133","Rocky Point",28457,"Pender",c(708900.312600002, 73257.8674000017)
"Cape Fear Middle","1886 NC Hwy 133","Rocky Point",28457,"Pender",c(708988.812399998, 73145.1953000017)
"Overhills Middle","2711 Ray Road","Spring Lake",28390,"Harnett",c(612490.652900003, 166221.083099999)
"Greenlee Primary","2206 Carters Ridge Road","Spruce Pine",28777,"Mitchell",c(333970.0748, 240997.414299998)
"Page Street Elementary","897 Page Street","Troy",27371,"Montgomery",c(529948.750100002, 179639.468600001)
"North Whiteville Academy","310 S Martin Luther King Jr","Whiteville",28472,"Columbus",c(635956.907099999, 68858.3352000006)
"Walter L Parsley Elementary","3518 Masonboro Loop Road","Wilmington",28409,"New Hanover",c(714560.124899998, 48157.5273000002)
"W M Irvin Elementary","1400 Gold Rush Drive","Concord",28025,"Cabarrus",c(468620.734399997, 186177.851)
"Hawk Ridge Elementary","9201 Bryant Farms Rd","Charlotte",28277,"Mecklenburg",c(443001.656300001, 145124.531300001)
"Eugene Ashley High","555 Halyburton Memorial Pkwy","Wilmington",28412,"New Hanover",c(710434.249899998, 39779.6405000016)
"Charles P Murray Middle","655 Halyburton Memorial Pkwy","Wilmington",28412,"New Hanover",c(710594.25, 39779.6405000016)
"Southside High","5700 Hwy 33 East","Chocowinity",27817,"Beaufort",c(786171.624899998, 189915.453299999)
"Lyle Creek Elementary","1845 Edgewater Drive NW","Conover",28613,"Catawba",c(410687.430799998, 223948.815499999)
"Polenta Elementary","105 Josephine Road","Garner",27529,"Johnston",c(653797.307599999, 201783.642200001)
"Riverwood Elementary","108 Athletic Club Blvd","Clayton",27527,"Johnston",c(661853.335000001, 215576.780400001)
"Riverwood Middle","204 Athletic Club Blvd","Clayton",27527,"Johnston",c(661966.491700001, 215701.358899999)
"Kimberley Park Elementary","1700 Old Cherry Street","Winston Salem",27105,"Forsyth",c(496629.437399998, 263221.719000001)
"Isaac M Bear High","630 MacMillan Avenue","Wilmington",28403,"New Hanover",c(712624.472099997, 52852.004999999)
"Harnett Central High","2911 Harnett Central Rd","Angier",27501,"Harnett",c(629294.562399998, 190122.265700001)
"Pathways Elementary","431 Strouds Creek Road","Hillsborough",27278,"Orange",c(600463.374899998, 262166.1248)
"Pasquotank County High","1064 Northside Road","Elizabeth City",27909,"Pasquotank",c(854291.364399999, 293494.366599999)
"Northside Elementary","1062 Northside Rd","Elizabeth City",27909,"Pasquotank",c(854378.479199998, 293293.762200002)
"Bladenboro Middle","910 South Main Street","Bladenboro",28320,"Bladen",c(628212.868799999, 86638.9670999981)
"Jessie Mae Monroe Elementary","250 Pea Landing Road NW","Ash",28420,"Brunswick",c(651253.687700003, 22043.5097999983)
"Buncombe County Early College","340 Victoria Road","Asheville",28801,"Buncombe",c(287269.447499998, 207721.0682)
"North Windy Ridge Intermediate","20 Doan Road","Weaverville",28787,"Buncombe",c(288344.292199999, 224899.6613)
"Walter R Johnson Middle","701 Lenoir Road","Morganton",28655,"Burke",c(366406.890699998, 228567.1844)
"Carolina International School","8810 Hickory Ridge Road","Harrisburg",28075,"Cabarrus",c(461844.696000002, 172542.0251)
"Cox Mill Elementary","1450 Cox Mill Road","Concord",28027,"Cabarrus",c(452276.493299998, 183714.116999999)
"Turning Point Academy","910 South Post Road","Shelby",28152,"Cleveland",c(395642.218900003, 168273.250100002)
"East Elementary","600 Cleveland Avenue","Kings Mountain",28086,"Cleveland",c(397572.735600002, 168813.1686)
"Grover Elementary","206 Carolina Avenue","Grover",28073,"Cleveland",c(386719.473700002, 160789.432399999)
"Jefferson Elementary","1166 Wyke Road","Shelby",28150,"Cleveland",c(381140.055500001, 175093.193799999)
"Marion Elementary","410 Forest Hill Drive","Shelby",28150,"Cleveland",c(379969.943000004, 173650.171799999)
"North Elementary","900 N Ramseur Street","Kings Mountain",28086,"Cleveland",c(396656.541900001, 169429.693)
"North Shelby","1205 Northside Drive","Shelby",28150,"Cleveland",c(379376.468699999, 176089.1096)
"Shelby Middle","1480 South Dekalb Street","Shelby",28152,"Cleveland",c(377638.937600002, 170953.8376)
"West Elementary","500 W Mountain Street","Kings Mountain",28086,"Cleveland",c(395591.963699996, 167784.348999999)
"Moyock Middle","216 Survey Road","Moyock",27958,"Currituck",c(864257.687700003, 309143.812600002)
"South Lexington Development Center","1006 Cotton Grove Road","Lexington",27292,"Davidson",c(495569.906499997, 227864.848299999)
"Central Park School For Child","724 Foster Street","Durham",27701,"Durham",c(618518.375200003, 250050.687399998)
"J D Clement Early College HS","712 Cecil Street","Durham",27707,"Durham",c(618990.187600002, 246385.0469)
"Middle College of Forsyth Cnty","2100 Silas Creek Parkway","Winston-Salem",27103,"Forsyth",c(495025.096299998, 258024.470699999)
"Middle Fork Elementary","3125 Williston Road","Walkertown",27051,"Forsyth",c(504341.499899998, 265821.843699999)
"WinstonSalem Preparatory Acad","1215 North Cameron Avenue","Winston-Salem",27101,"Forsyth",c(499523.531199999, 262461.249899998)
"Blaine Beam Intermediate","401East First Street","Cherryville",28021,"Gaston",c(393825.750100002, 183559.5781)
"Middle College at Bennett","722 Gorrell Street","Greensboro",27401,"Guilford",c(539464.437399998, 257505.343899999)
"Gillespie Park Elementary","1900 Martin Luther King Jr","Greensboro",27406,"Guilford",c(539792.750200003, 255041.921700001)
"The Early College at Guilford","5608 W. Friendly Ave","Greensboro",27410,"Guilford",c(529228.124799997, 259890.2344)
"Lake Norman High","186 Doolie Road","Mooresville",28117,"Iredell",c(437585.8125, 206617.484200001)
"River Dell Elementary","12100 Buffalo Road","Clayton",27527,"Johnston",c(668343.379199997, 212862.0878)
"South Campus Community Middle","425 S Collier Street","Smithfield",27577,"Johnston",c(669556.9375, 194721.781399999)
"North Lincoln High","2737 Lee Lawing Road","Lincolnton",28092,"Lincoln",c(417810.3125, 199951.468800001)
"Queen's Grant Community","6400 MatthewsMint Hill Road","Mint Hill",28227,"Mecklenburg",c(457862.531300001, 158454.859299999)
"Community School of Davidson","565 Griffith Street","Davidson",28036,"Mecklenburg",c(440434.562299997, 196086.484299999)
"Endhaven Elementary","6815 Endhaven Ln","Charlotte",28277,"Mecklenburg",c(442499.406199999, 147655.1406)
"Highland Mill Montessori","3201 Clemson Ave","Charlotte",28205,"Mecklenburg",c(445481.843599997, 167084.468499999)
"Mint Hill Middle","11501 Idewild Rd","Matthews",28105,"Mecklenburg",c(454734.843900003, 156864.968699999)
"Mountain Island Elementary","7905 Pleasant Grove Rd","Charlotte",28216,"Mecklenburg",c(434175.156300001, 174593.140799999)
"Oaklawn Language Academy","1810 Oaklawn Ave","Charlotte",28216,"Mecklenburg",c(441204.5, 168037.046799999)
"Providence Spring Elementary","10045 Providence Church Ln","Charlotte",28277,"Mecklenburg",c(447953.343699999, 148450.4377)
"Southwest Middle School","13624 Steele Creek Rd","Charlotte",28273,"Mecklenburg",c(428160.300399996, 152400.3048)
"Walter G Byers School","1415 Hamilton St","Charlotte",28206,"Mecklenburg",c(441978.156300001, 167223.5469)
"NRM Early College High School","530 North Old Carriage Road","Rocky Mount",27804,"Nash",c(709102.937299997, 247678.234499998)
"Cedar Ridge High","1125 New Grady Brown Sch Rd","Hillsborough",27278,"Orange",c(597722.250200003, 255433.374899998)
"Uwharrie Middle","1463 Pleasant Union Road","Trinity",27370,"Randolph",c(519458.468699999, 218639.671999998)
"Porter Ridge Elementary","2843 Ridge Road","Indian Trail",28079,"Union",c(465936.593000002, 150206.234499998)
"Jones Dairy Elementary","1100 Jones Dairy Road","Wake Forest",27587,"Wake",c(657281.366499998, 244215.148499999)
"Moore Square Museum Magnet Middle","301 South Person Street","Raleigh",27601,"Wake",c(642602.375200003, 224891.843600001)
"Salem Middle","6150 Old Jenks Road","Apex",27523,"Wake",c(623295.104699999, 222748.297800001)
"Yadkin Success Academy","733 East Main Street","Yadkinville",27055,"Yadkin",c(460786.374799997, 265788.031100001)
"The Hawbridge School","1735 Saxapahaw Bethlehem Rd","Saxapahaw",27340,"Alamance",c(580703.8125, 243741.7969)
"Westwood Elementary","4083 US Hwy 221S","West Jefferson",28694,"Ashe",c(384437.003700003, 292876.627500001)
"East Bladen High","5600 NC Hwy 87 East","Elizabethtown",28337,"Bladen",c(644908.737499997, 95818.2496999986)
"Elizabethtown Middle","Hwy 701 South","Elizabethtown",28337,"Bladen",c(644710.000200003, 94986.4998999983)
"West Bladen High","1600 NC Hwy 410","Bladenboro",28320,"Bladen",c(633436.812399998, 98417.5313000008)
"Plain View Primary","1963 Chicken Foot Road","Tar Heel",28392,"Bladen",c(624228.166000001, 109613.3125)
"Dublin Primary","7048 Albert Street","Dublin",28332,"Bladen",c(635261.864100002, 100455.096299998)
"Charter Day School","7055 Bacon's Way","Leland",28451,"Brunswick",c(689191.941299997, 59463.6541999988)
"C C Griffin Middle","7650 Griffin's Gate Drive","Concord",28025,"Cabarrus",c(465204.794, 174154.3433)
"Harris Road Middle","1251 Patriot Blvd","Concord",28027,"Cabarrus",c(451491.403899997, 187759.860800002)
"Hiwassee Dam High","267 Blue Eagle Circle","Murphy",28906,"Cherokee",c(133637.046899997, 162699.093899999)
"Kings Mountain Intermediate","227 Kings Mountain Boulevard","Kings Mountain",28086,"Cleveland",c(393104.440399997, 166975.968600001)
"Gallberry Farm Elementary","8019 Byerly Drive","Hope Mills",28348,"Cumberland",c(617383.670500003, 129813.962499999)
"Gray's Creek High","5301 Celebration Drive","Hope Mills",28348,"Cumberland",c(618452.000100002, 130043.945300002)
"First Flight Middle","109 Veterans Drive","Kill Devil Hills",27948,"Dare",c(910063.6875, 255272.968800001)
"First Flight High School","100 Veterans Drive","Kill Devil Hills",27948,"Dare",c(910063.029399998, 255634.149999999)
"Brier Creek Elementary","175 Watford Road","Thomasville",27360,"Davidson",c(511404.031400003, 227634.187600002)
"Creekside Elementary","5321 Ephesus Church Road","Durham",27707,"Durham",c(610131.093699999, 241698.853799999)
"Arts Based Elementary","1380 Martin Luther King Jr","Winston-Salem",27101,"Forsyth",c(497510.467600003, 261871.661400001)
"Royal Elementary","308 Flat Rock Church Road","Louisburg",27549,"Franklin",c(666893.124799997, 251876.281199999)
"Sadler Elementary","3950 West Franklin Boulevard","Gastonia",28052,"Gaston",c(404380.593800001, 169588.5469)
"Brown Summit Middle","4720 NC Hwy 150 East","Browns Summit",27214,"Guilford",c(546378.500200003, 273321.1252)
"Middle College at NC A&T","1601 East Market Street","Greensboro",27401,"Guilford",c(540027.187700003, 257958.171999998)
"Highland Elementary","1915 Buffalo Lake Road","Sanford",27330,"Harnett",c(605830.839000002, 172676.5392)
"Overhills High","2495 Ray Road","Spring Lake",28390,"Harnett",c(612335.527400002, 165908.6448)
"Clear Creek Elementary","737 N Clear Creek Road","Hendersonville",28792,"Henderson",c(297554.343699999, 185563.2969)
"Third Creek Elementary","361 East Barkley Road","Statesville",28677,"Iredell",c(441664.372400001, 223397.934999999)
"McGee's Crossroads Middle","13353 NC Highway 210","Benson",27504,"Johnston",c(648332.062600002, 195921.171799999)
"West Johnston High","5935 Raleigh Road","Benson",27504,"Johnston",c(651119.312299997, 196943.1877)
"Kinston Charter Academy","2000 Martin L King Jr Blvd","Kinston",28501,"Lenoir",c(741046.223499998, 171391.191199999)
"St James Elementary","1774 St James Church Road","Denver",28037,"Lincoln",c(426311.968800001, 194417.046999998)
"Jay M Robinson Middle","5925 Ballantyne Commons Pkwy","Charlotte",28277,"Mecklenburg",c(446995.749799997, 147252.1719)
"Joseph W Grier Academy","8330 Grier Rd","Charlotte",28215,"Mecklenburg",c(452636.749899998, 169904.093600001)
"Harding University High","2001 Alleghany St","Charlotte",28208,"Mecklenburg",c(436391.374899998, 166523.9998)
"Phillip O Berry Academy of Technology","1430 Alleghany St","Charlotte",28208,"Mecklenburg",c(437088.968900003, 166966.156300001)
"Nash Central High","4279 Nash Central High Road","Rocky Mount",27804,"Nash",c(708988.624899998, 245224.4998)
"Swift Creek Elementary","2420 Swift Creek School Road","Whitakers",27891,"Nash",c(708826.125100002, 262016.281100001)
"Benvenue Elementary","2700 Nicodemus Mile Road","Rocky Mount",27804,"Nash",c(714408.750200003, 247585.3281)
"Englewood Elementary","101 South Englewood Drive","Rocky Mount",27804,"Nash",c(714196.750100002, 246021.500100002)
"G R Edwards Middle","720 Edwards Street","Rocky Mount",27803,"Nash",c(715853.374799997, 242977.6094)
"Nashville Elementary","209 East Virginia Avenue","Nashville",27856,"Nash",c(702911.062399998, 246856.078299999)
"Rocky Mount High","308 South Tillery Street","Rocky Mount",27804,"Nash",c(717106.750100002, 243852.7031)
"Williford Elementary","801 Williford Street","Rocky Mount",27803,"Nash",c(716207.187700003, 242256.3123)
"Gaston College Preparatory","320 Pleasant Hill Road","Gaston",27832,"Northampton",c(731043.312700003, 306188.843699999)
"PACE Academy","1713 Legion Rd","Chapel Hill",27517,"Orange",c(607948, 242830.6877)
"Rashkis Elementary","601 Meadowmont Ln","Chapel Hill",27517,"Orange",c(609132.5625, 239789.109200001)
"Arapahoe Charter School","9005 NC Hwy 306 S","Arapahoe",28510,"Pamlico",c(808428.6875, 141893.2344)
"Heide Trask High","14328 NC Hwy 210","Rocky Point",28457,"Pender",c(711744.9375, 76559.1484999992)
"South Central High","570 W Forlines Road","Winterville",28590,"Pitt",c(751994.812700003, 199652.093699999)
"Huntsville Elementary","2020 Sardis Church Road","Madison",27025,"Rockingham",c(524257.048500001, 286688.8616)
"Gray Stone Day","49464 Merner Terrace","Misenheimer",28109,"Stanly",c(493142.093599997, 193253.921999998)
"West Stanly Middle School","339 Running Creek Church Rd","Locust",28097,"Stanly",c(483761.457699999, 170140.244899999)
"Mountain Discovery Charter","890 Jenkins Branch Rd N","Bryson City",28713,"Swain",c(205081.056100003, 192420.1675)
"Carolina Forest Elementary","141 Carolina Forest Blvd","Jacksonville",28546,"Onslow",c(755086.790200002, 118943.169199999)
"Columbia Middle","920 Main Street","Columbia",27925,"Tyrrell",c(858105.124899998, 244067.140500002)
"Antioch Elementary","3101 Antioch Church Road","Matthews",28104,"Union",c(452462.937299997, 146513.219599999)
"Marvin Elementary","9700 Marvin School Rd","Marvin",28173,"Union",c(444718.437600002, 140186.593699999)
"Casa Esperanza Montessori","2600 Sumner Blvd #130","Raleigh",27616,"Wake",c(646547.520800002, 235544.234099999)
"Ballentine Elementary","1651 McLaurin Lane","Fuquay Varina",27526,"Wake",c(630380.700300001, 206733.4879)
"Lockhart Elementary","1320 N Smithfield Rd","Knightdale",27545,"Wake",c(656111.466200002, 227953.921799999)
"Forestville Road Elementary","100 Lawson Ridge Road","Knightdale",27545,"Wake",c(656428.7368, 228710.8466)
"Highcroft Elementary","5415 Highcroft Drive","Cary",27519,"Wake",c(620104.937299997, 227521.2656)
"Heritage Middle","3400 Rogers Road","Wake Forest",27587,"Wake",c(653681.887800001, 244082.419300001)
"Holly Ridge Elementary","900 Holly Springs Road","Holly Springs",27540,"Wake",c(626211.687399998, 211301.453000002)
"Holly Ridge Middle","950 Holly Springs Road","Holly Springs",27540,"Wake",c(626325.312600002, 211306.7344)
"Knightdale High","100 Bryan Chalk Lane","Knightdale",27545,"Wake",c(656942.648000002, 228716.656199999)
"Middle Creek High","123 Middle Creek Park Avenue","Apex",27539,"Wake",c(631335.437299997, 212624.031100001)
"Turner Creek Elementary","6801 Turner Creek Road","Cary",27519,"Wake",c(620914.8125, 224414.5469)
"HaliwaSaponi Tribal School","130 HaliwaSaponi Trail","Hollister",27844,"Warren",c(705431.125200003, 278487.906100001)
"East Wilkes Middle","2202 Macedonia Road","Ronda",28670,"Wilkes",c(435946.375399999, 278668.162099998)
"Millers Creek Elementary","4320 North NC Hwy 16","Millers Creek",28651,"Wilkes",c(407812.5, 274833.375100002)
"North Wilkes Middle","2776 Yellow Banks Road","North Wilkesboro",28659,"Wilkes",c(416454.687399998, 280913.187399998)
"West Wilkes Middle","1677 North NC Hwy 16","Wilkesboro",28697,"Wilkes",c(407969.924199998, 270709.586800002)
"East Arcadia Elementary","21451 NC Hwy 87 East","Riegelwood",28456,"Bladen",c(670047.186999999, 74522.8104000017)
"Bladenboro Primary","312 Whiteville Road","Bladenboro",28320,"Bladen",c(628406.250100002, 86524.2498999983)
"Dunn Middle","1301 Meadowlark Road","Dunn",28334,"Harnett",c(645130.937700003, 175256.484299999)
"CoatsErwin Middle","2833 NC Hwy 55E","Dunn",28334,"Harnett",c(640419.124899998, 180066.2656)
"Shelby High","230 E Dixon Boulevard","Shelby",28152,"Cleveland",c(378680.136, 172090.702300001)
"ArtSpace Charter","2030 US Hwy 70","Swannanoa",28778,"Buncombe",c(298965.040299997, 209998.478999998)
"Chewning Middle","5001 Red Mill Road","Durham",27704,"Durham",c(625423.3125, 257826.937600002)
"Mangum Elementary","9008 Quail Roost Road","Bahama",27503,"Durham",c(620718.312600002, 268555.4377)
"Little River Elementary","2315 Snow Hill Road","Durham",27712,"Durham",c(621919.562299997, 260599.531399999)
"Northern High","117 Tom Wilkinson Road","Durham",27712,"Durham",c(617404.500200003, 260183.218600001)
"George L Carrington Middle","227 Milton Road","Durham",27712,"Durham",c(617332.687600002, 259368.265799999)
"Eno Valley Elementary","117 Milton Road","Durham",27712,"Durham",c(617490.0625, 259135.3281)
"Holt Elementary","4019 Holt School Road","Durham",27704,"Durham",c(618059.312600002, 255889.3125)
"Hillandale Elementary","2730 Hillandale Road","Durham",27705,"Durham",c(615545.500200003, 255417.281199999)
"Riverside High","3218 Rose of Sharon Road","Durham",27712,"Durham",c(614733.5, 256878.468800001)
"Club Boulevard Elementary","400 W Club Boulevard","Durham",27704,"Durham",c(618896.999899998, 251736.734499998)
"Glenn Elementary","2415 E Geer Street","Durham",27704,"Durham",c(624204.812600002, 252750.187399998)
"Oak Grove Elementary","3810 Wake Forest Road","Durham",27703,"Durham",c(625908.5, 247448.1404)
"Southern High","800 Clayton Road","Durham",27703,"Durham",c(625064.866300002, 249622.780299999)
"MerrickMoore Elementary","2325 Cheek Road","Durham",27704,"Durham",c(622923.687600002, 250282.421799999)
"Y E Smith Elementary","2410 E Main Street","Durham",27703,"Durham",c(621122.249799997, 248046.4998)
"Eastway Elementary","610 North Alston Avenue","Durham",27701,"Durham",c(619928.625100002, 248609.906399999)
"Healthy Start Academy","807 West Chapel Hill Street","Durham",27701,"Durham",c(619674.999899998, 249698.140700001)
"George Watts Elementary","700 Watts Street","Durham",27701,"Durham",c(617725.25, 250516.281199999)
"Durham School of the Arts","401 North Duke Street","Durham",27701,"Durham",c(618024.250100002, 249899.296700001)
"Morehead Montessori","909 Cobb Street","Durham",27707,"Durham",c(617406.374899998, 248326.015500002)
"R N Harris Elementary","1520 Cooper Street","Durham",27703,"Durham",c(620098.874899998, 246358.906100001)
"Burton Elementary","1500 Mathison Avenue","Durham",27701,"Durham",c(619780.6875, 247235.859499998)
"C C Spaulding Elementary","1531 S Roxboro Road","Durham",27707,"Durham",c(618138.1875, 247179.515700001)
"W G Pearson Elementary","3501 Fayettville Street","Durham",27707,"Durham",c(618963.125, 247629.265700001)
"Fayetteville Street Elementary","2905 Fayetteville Street","Durham",27707,"Durham",c(618161.375, 245648.3279)
"James E Shepard Middle","2401 Dakota Street","Durham",27707,"Durham",c(618680.312399998, 245746.062399998)
"Hillside High","3727 Fayetteville St","Durham",27707,"Durham",c(618389.125100002, 244740.734200001)
"RogersHerr Middle","911 Cornwallis Road","Durham",27707,"Durham",c(615560.624899998, 246540.1252)
"Lakewood Elementary","2520 Vesson Avenue","Durham",27707,"Durham",c(615431.749799997, 247707.7502)
"Parkwood Elementary","5207 Revere Road","Durham",27713,"Durham",c(618114.874899998, 237610.703000002)
"Lowe's Grove Middle","4418 S Alston Avenue","Durham",27713,"Durham",c(619470.374899998, 238810.6873)
"Southwest Elementary","2320 Cook Road","Durham",27713,"Durham",c(616516.125100002, 241753.468600001)
"Pearsontown Elementary","4915 Barbee Road","Durham",27713,"Durham",c(617927.187399998, 242101.874899998)
"C E Jordan High","6806 Garrett Road","Durham",27707,"Durham",c(612972.937600002, 241149.187399998)
"Bethesda Elementary","2009 S Miami Boulevard","Durham",27703,"Durham",c(624291.875, 243022.296700001)
"Neal Middle","201 Baptist Road","Durham",27704,"Durham",c(629219.5625, 247254.531100001)
"M C S Noble Middle","6520 Market St","Wilmington",28405,"New Hanover",c(716287.5, 56762.6755999997)
"Richfield Elementary","120 Morgan Street","Richfield",28137,"Stanly",c(495610.9274, 191356.950399999)
"Brunswick County Early College","50 College Road NE","Bolivia",28422,"Brunswick",c(680852.2513, 32239.0214000009)
"School of Inquiry and Life Sciences","419 McDowell Street","Asheville",28803,"Buncombe",c(287802.9375, 207962.4586)
"Burke Middle College","1001 Burkemont Ave","Morganton",28655,"Burke",c(366355.244599998, 222007.954799999)
"Kannapolis Interm","525 East C Street","Kannapolis",28083,"Cabarrus",c(462896.687399998, 194487.921999998)
"Caldwell Early College","2859 Hickory Blvd SW","Hudson",28638,"Caldwell",c(385339.506499998, 236251.843400002)
"Maiden Middle School","518 North C Avenue","Maiden",28650,"Catawba",c(408626.962200001, 205370.543000001)
"Newton Conover Health Science","605 N Ashe Avenue","Newton",28658,"Catawba",c(408217.862599999, 216088.391600002)
"TriCounty Early College High","21 Campus Circle","Murphy",28906,"Cherokee",c(145207.296899997, 154788.3127)
"Kings Mountain Middle","1000 Phifer Road","Kings Mountain",28086,"Cleveland",c(393514.720600002, 166782.085099999)
"CCCA  Southeastern Campus","4564 Chadbourn Hwy","Whiteville",28472,"Columbus",c(629755.383599997, 64502.7404999994)
"Craven Early College High","800 College Court","New Bern",28562,"Craven",c(782593.874799997, 152558.759799998)
"Cross Creek Early College","1200 Murchison Road","Fayetteville",28301,"Cumberland",c(619239.499799997, 146592.859499998)
"Howard Health & Life Sciences","1608 Camden Rd","Fayetteville",28306,"Cumberland",c(614270.020000003, 142071.1248)
"Brewster Middle","883 Stone Street","Camp Lejuene",28547,"Cumberland",c(760257, 107765.804699998)
"Delalio Elementary","1500 Curtis Road","Jacksonville",28540,"Cumberland",c(749467.124899998, 109934.1952)
"Carla Johnson Primary School","2027 Stone Street","Camp Lejeune",28547,"Cumberland",c(760389.5625, 106702.749899998)
"Lejeune High","835 Stone Street","Camp Lejeune",28547,"Cumberland",c(760173.312399998, 108435.281199999)
"Tarawa Terrace I Elementary","60 Tarawa Blvd","Tarawa Terrace",28543,"Cumberland",c(759327.000200003, 110850.984499998)
"Tarawa Terrace II Elementary","84 Iwo Jima Blvd","Tarawa Terrace",28543,"Cumberland",c(758598.437700003, 111210.890799999)
"Nags Head Elementary","3100 S Wrightsville Avenue","Nags Head",27959,"Dare",c(912633.250200003, 252414.7344)
"Friendship Elementary","1490 FriendshipLedford Road","Winston-Salem",27107,"Davidson",c(506738.099799998, 245741.197999999)
"Central Davie Academy","160 Campbell Road","Mocksville",27028,"Davie",c(469496.804499999, 240418.503199998)
"Middle College HS @ DTCC","1637 Lawson Street","Durham",27703,"Durham",c(620381.187399998, 246712.2656)
"Edgecombe Early College High","2009 West Wilson St","Tarboro",27886,"Edgecombe",c(738400.206200004, 237125.716699999)
"East Forsyth Middle","810 Bagley Drive","Kernersville",27284,"Forsyth",c(508683.093900003, 265458.781100001)
