Zipcode.x,SchoolName,Zipcode_first,Address,City,Zipcode.y,County,X,Y
27610,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27610,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27616,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27608,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27519,Conn Elementary,275,NA,NA,NA,NA,-78.62360879,35.79632231
27610,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27603,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27612,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27610,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27610,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27610,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27610,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27612,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27610,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27601,Conn Elementary,276,1220 Brookside Dr,Raleigh,27604,Wake,-78.62360879,35.79632231
27604,Corinth Holders High,276,NA,NA,NA,NA,-78.338104,35.725607
27615,Creech Road Elementary,276,NA,NA,NA,NA,-78.599883,35.715011
27606,Creech Road Elementary,276,NA,NA,NA,NA,-78.599883,35.715011
27529,Creech Road Elementary,275,450 Creech Rd,Garner,27529,Wake,-78.60165196,35.71476209
27529,Creech Road Elementary,275,450 Creech Rd,Garner,27529,Wake,-78.60165196,35.71476209
27610,Creech Road Elementary,276,NA,NA,NA,NA,-78.599883,35.715011
27610,Creech Road Elementary,276,NA,NA,NA,NA,-78.599883,35.715011
27610,Creech Road Elementary,276,NA,NA,NA,NA,-78.599883,35.715011
27610,Creech Road Elementary,276,NA,NA,NA,NA,-78.599883,35.715011
27603,Crosby Garfield Center,276,NA,NA,NA,NA,-78.629714,35.772429
27604,Daniels Middle,276,2816 Oberlin Rd,Raleigh,27608,Wake,-78.65715085,35.81329834
27609,Daniels Middle,276,2816 Oberlin Rd,Raleigh,27608,Wake,-78.65715085,35.81329834
27511,Davis Drive Middle,275,2101 Davis Drive,Cary,27519,Wake,-78.85044613,35.77748695
27603,Dillar Drive Elementary,276,NA,NA,NA,NA,-78.722956,35.752339
27603,Dillard Drive Elementary,276,5018 Dillard Drive,Raleigh,27606,Wake,-78.72300697,35.7516858
27610,Dillard Drive Elementary,276,5018 Dillard Drive,Raleigh,27606,Wake,-78.72300697,35.7516858
27610,Dillard Drive Elementary,276,5018 Dillard Drive,Raleigh,27606,Wake,-78.72300697,35.7516858
27604,Dillard Drive Elementary,276,5018 Dillard Drive,Raleigh,27606,Wake,-78.72300697,35.7516858
27603,Dillard Drive Elementary,276,5018 Dillard Drive,Raleigh,27606,Wake,-78.72300697,35.7516858
27603,Dillard Drive Elementary,276,5018 Dillard Drive,Raleigh,27606,Wake,-78.72300697,35.7516858
27603,Dillard Drive Elementary,276,5018 Dillard Drive,Raleigh,27606,Wake,-78.72300697,35.7516858
27539,Dillard Drive Elementary,275,NA,NA,NA,NA,-78.72300697,35.7516858
27539,Dillard Drive Elementary,275,NA,NA,NA,NA,-78.72300697,35.7516858
27539,Dillard Drive Elementary,275,NA,NA,NA,NA,-78.72300697,35.7516858
27610,Dillard Drive Middle,276,5200 Dillard Drive,Raleigh,27606,Wake,-78.72508166,35.75218212
27604,Dillard Drive Middle,276,5200 Dillard Drive,Raleigh,27606,Wake,-78.72508166,35.75218212
27606,Dillard Drive Middle,276,5200 Dillard Drive,Raleigh,27606,Wake,-78.72508166,35.75218212
27603,Dillard Drive Middle,276,5200 Dillard Drive,Raleigh,27606,Wake,-78.72508166,35.75218212
27607,Dillard Drive Middle,276,5200 Dillard Drive,Raleigh,27606,Wake,-78.72508166,35.75218212
27603,Dillard Drive Middle,276,5200 Dillard Drive,Raleigh,27606,Wake,-78.72508166,35.75218212
