SCHOOL CODE,SCHOOL NAME,SCHOOL LEVEL,FREE and REDUCED,FR PERCENTAGE,,,,,,,,,,,,,,,,
920506,Moore Square Museum Magnet Middle,M,146, 21.8%,,,,,,,,,,,,,,,,
920504,Morrisville Elementary,E,61,  8.8%,,,,,,,,,,,,,,,,
920508,Mount Vernon School,S,47, 74.6%,,,,,,,,,,,,,,,,
920410,Neuse River Middle,M,483, 59.9%,,,,,,,,,,,,,,,,
920514,North Forest Pines Elementary,E,123, 23.5%,,,,,,,,,,,,,,,,
920512,North Garner Middle,M,392, 42.3%,,,,,,,,,,,,,,,,
920516,North Ridge Elementary,E,216, 33.1%,,,,,,,,,,,,,,,,
920518,North Wake College and Career Academy,H,108, 29.9%,,,,,,,,,,,,,,,,
920520,Northwoods Elementary,E,150, 23.0%,,,,,,,,,,,,,,,,
920522,Oak Grove Elementary,E,123, 20.0%,,,,,,,,,,,,,,,,
920521,Oakview Elementary,E,120, 13.4%,,,,,,,,,,,,,,,,
920388,Oberlin Middle,M,359, 28.7%,,,,,,,,,,,,,,,,
920524,Olds Elementary,E,70, 26.4%,,,,,,,,,,,,,,,,
920523,Olive Chapel Elementary,E,59,  5.8%,,,,,,,,,,,,,,,,
920526,Panther Creek High,H,233,  9.4%,,,,,,,,,,,,,,,,
920527,Parkside Elementary,E,81, 10.6%,,,,,,,,,,,,,,,,
920525,Partnership Elementary,E,76, 24.4%,,,,,,,,,,,,,,,,
920530,Penny Road Elementary,E,138, 29.0%,,,,,,,,,,,,,,,,
920528,Phillips High,S,61, 52.6%,,,,,,,,,,,,,,,,
920529,Pine Hollow Middle,M,165, 16.0%,,,,,,,,,,,,,,,,
920533,Pleasant Grove Elementary,E,209, 34.7%,,,,,,,,,,,,,,,,
920531,Pleasant Union Elementary,E,60, 10.7%,,,,,,,,,,,,,,,,
920532,Poe Elementary,E,162, 56.8%,,,,,,,,,,,,,,,,
920536,Powell Elementary,E,112, 40.4%,,,,,,,,,,,,,,,,
920540,Rand Road Elementary,E,182, 38.5%,,,,,,,,,,,,,,,,
920542,Reedy Creek Elementary,E,285, 44.6%,,,,,,,,,,,,,,,,
920400,Reedy Creek Middle,M,241, 31.8%,,,,,,,,,,,,,,,,
920543,Richland Creek Elementary,E,149, 34.7%,,,,,,,,,,,,,,,,
920302,River Bend Elementary,E,398, 54.4%,,,,,,,,,,,,,,,,
920549,River Bend Middle School,M,695, 55.8%,,,,,,,,,,,,,,,,
920438,River Oaks Middle,S,20, 76.9%,,,,,,,,,,,,,,,,
920547,Rogers Lane Elementary,E,511, 66.2%,,,,,,,,,,,,,,,,
920544,Rolesville Elementary,E,164, 28.6%,,,,,,,,,,,,,,,,
920546,Rolesville High,H,814, 34.9%,,,,,,,,,,,,,,,,
920545,Rolesville Middle,M,291, 26.7%,,,,,,,,,,,,,,,,
920548,Root Elementary,E,71, 16.4%,,,,,,,,,,,,,,,,
920556,SCORE Academy,H,103, 31.1%,,,,,,,,,,,,,,,,
920550,Salem Elementary,E,125, 15.5%,,,,,,,,,,,,,,,,
920551,Salem Middle,M,166, 16.0%,,,,,,,,,,,,,,,,
920552,Sanderson High,H,399, 24.4%,,,,,,,,,,,,,,,,
920554,Sanford Creek Elementary,E,176, 28.7%,,,,,,,,,,,,,,,,
920557,Scotts Ridge Elementary,E,35,  4.3%,,,,,,,,,,,,,,,,
920560,Smith Elementary,E,258, 52.9%,,,,,,,,,,,,,,,,
920561,South Garner High,H,749, 46.3%,,,,,,,,,,,,,,,,
920559,South Lakes Elementary,E,93, 18.7%,,,,,,,,,,,,,,,,
920563,Southeast Raleigh Elementary,E,261, 73.7%,,,,,,,,,,,,,,,,
920562,Southeast Raleigh High,H,790, 56.1%,,,,,,,,,,,,,,,,
920564,Stough Elementary,E,116, 25.7%,,,,,,,,,,,,,,,,
920568,Swift Creek Elementary,E,119, 30.5%,,,,,,,,,,,,,,,,
920569,Sycamore Creek Elementary,E,96,  9.8%,,,,,,,,,,,,,,,,
920570,Timber Drive Elementary,E,104, 32.0%,,,,,,,,,,,,,,,,
920571,Turner Creek Elementary,E,116, 15.2%,,,,,,,,,,,,,,,,
920572,Underwood Elementary,E,92, 21.8%,,,,,,,,,,,,,,,,
920576,Vance Elementary,E,107, 27.5%,,,,,,,,,,,,,,,,
920580,Vandora Springs Elementary,E,258, 49.5%,,,,,,,,,,,,,,,,
920581,Vernon Malone College and Career Academy,H,130, 35.4%,,,,,,,,,,,,,,,,
920583,Wake Early College of Health and Sciences,H,91, 27.0%,,,,,,,,,,,,,,,,
920584,Wake Forest Elementary,E,173, 46.6%,,,,,,,,,,,,,,,,
920588,Wake Forest High,H,398, 17.6%,,,,,,,,,,,,,,,,
